epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,231.706,0.41901,0.37159,1.08353,0.86001,0.88525,0.9277,0.76086,0.6867,0.58522,1.03845,0.000990365,0.000990365,0.000990365
43,237.293,0.42136,0.37919,1.09475,0.86559,0.89739,0.93464,0.75164,0.75172,0.58313,1.05575,0.000973861,0.000973861,0.000973861
44,242.889,0.4055,0.37158,1.08141,0.86669,0.8526,0.91707,0.73348,0.75398,0.55262,1.07095,0.000957358,0.000957358,0.000957358
45,248.681,0.41315,0.35944,1.09062,0.89691,0.85578,0.9267,0.76285,0.70559,0.46297,1.04924,0.000940855,0.000940855,0.000940855
46,254.349,0.38741,0.35178,1.07123,0.86835,0.88525,0.9346,0.78475,0.66198,0.48197,0.99883,0.000924352,0.000924352,0.000924352
47,260.087,0.37987,0.32121,1.07687,0.94465,0.86066,0.9391,0.80888,0.62122,0.50408,0.96628,0.000907848,0.000907848,0.000907848
48,265.728,0.41427,0.35104,1.08972,0.93133,0.88938,0.94445,0.79788,0.66134,0.47971,1.01316,0.000891345,0.000891345,0.000891345
49,271.196,0.3867,0.32904,1.07699,0.89625,0.84973,0.93291,0.76893,0.6944,0.50269,1.03343,0.000874842,0.000874842,0.000874842
50,276.682,0.39445,0.32632,1.07645,0.83529,0.88525,0.91651,0.75779,0.70403,0.52748,1.03663,0.000858338,0.000858338,0.000858338
51,282.017,0.37832,0.3204,1.07404,0.91272,0.89344,0.9415,0.79233,0.6809,0.4859,1.04007,0.000841835,0.000841835,0.000841835
52,287.617,0.38611,0.32141,1.06452,0.90513,0.88525,0.94162,0.77977,0.6985,0.48832,1.02899,0.000825332,0.000825332,0.000825332
53,293.353,0.37474,0.3154,1.05687,0.8877,0.90164,0.93604,0.78814,0.65442,0.50864,0.97931,0.000808828,0.000808828,0.000808828
54,299.109,0.38209,0.32111,1.07172,0.83502,0.91803,0.93214,0.78574,0.65665,0.54703,0.97877,0.000792325,0.000792325,0.000792325
55,305.244,0.38088,0.31561,1.0652,0.8719,0.89344,0.93695,0.79425,0.64713,0.55901,0.95595,0.000775822,0.000775822,0.000775822
56,310.942,0.36673,0.3196,1.05576,0.88168,0.91803,0.94275,0.79234,0.67122,0.49206,0.97658,0.000759318,0.000759318,0.000759318
57,316.304,0.38691,0.32698,1.06242,0.91899,0.89344,0.93832,0.80869,0.63681,0.46706,0.96366,0.000742815,0.000742815,0.000742815
58,321.771,0.38292,0.33114,1.06266,0.8222,0.93443,0.93681,0.79795,0.64587,0.64917,0.9775,0.000726312,0.000726312,0.000726312
59,327.534,0.38474,0.32857,1.06969,0.87784,0.93443,0.94599,0.76223,0.73309,0.55289,1.06738,0.000709809,0.000709809,0.000709809
60,333.049,0.3675,0.30686,1.06947,0.93188,0.89706,0.94033,0.78296,0.70307,0.5752,1.03484,0.000693305,0.000693305,0.000693305
61,338.525,0.3706,0.30578,1.05024,0.8786,0.92623,0.95044,0.80472,0.64872,0.4991,0.98282,0.000676802,0.000676802,0.000676802
62,343.883,0.36388,0.30536,1.04891,0.89309,0.92623,0.94132,0.79196,0.63624,0.48944,0.95214,0.000660299,0.000660299,0.000660299
63,349.154,0.36741,0.31556,1.04856,0.9151,0.90164,0.94709,0.8146,0.65723,0.4551,0.991,0.000643795,0.000643795,0.000643795
64,354.422,0.36274,0.30399,1.05264,0.88636,0.92623,0.94835,0.80521,0.59255,0.5644,0.92668,0.000627292,0.000627292,0.000627292
65,359.674,0.38471,0.30852,1.06469,0.93113,0.88525,0.94927,0.78597,0.63739,0.62938,0.9774,0.000610789,0.000610789,0.000610789
66,365.115,0.37222,0.30661,1.06608,0.97548,0.85246,0.9452,0.78657,0.66186,0.5549,0.97484,0.000594286,0.000594286,0.000594286
67,370.623,0.3408,0.29224,1.02428,0.93946,0.89035,0.94653,0.81011,0.61208,0.59911,0.93353,0.000577782,0.000577782,0.000577782
68,376.119,0.36869,0.31094,1.05364,0.90774,0.90164,0.94005,0.81495,0.57085,0.49509,0.90358,0.000561279,0.000561279,0.000561279
69,381.732,0.36167,0.30396,1.02838,0.92275,0.90984,0.94585,0.81242,0.63944,0.49255,0.95306,0.000544776,0.000544776,0.000544776
70,387.003,0.35832,0.29041,1.06265,0.93005,0.87184,0.94548,0.82318,0.5961,0.50875,0.91352,0.000528272,0.000528272,0.000528272
71,392.398,0.3555,0.30487,1.05546,0.89782,0.8643,0.94115,0.81138,0.62259,0.54139,0.96178,0.000511769,0.000511769,0.000511769
72,397.928,0.34265,0.28179,1.03142,0.92298,0.87705,0.9353,0.8071,0.61237,0.51421,0.94952,0.000495266,0.000495266,0.000495266
73,403.167,0.35025,0.32076,1.04876,0.85947,0.92623,0.93938,0.79932,0.62219,0.57912,0.93711,0.000478762,0.000478762,0.000478762
74,408.411,0.34845,0.29105,1.04857,0.90126,0.91803,0.94213,0.79517,0.64533,0.54349,0.95662,0.000462259,0.000462259,0.000462259
75,413.647,0.35908,0.31016,1.03987,0.90688,0.92623,0.94748,0.8064,0.60118,0.53366,0.92336,0.000445756,0.000445756,0.000445756
76,418.954,0.3386,0.28742,1.03432,0.90636,0.90164,0.93728,0.80592,0.64267,0.48066,0.9686,0.000429253,0.000429253,0.000429253
77,424.181,0.31873,0.26672,1.02782,0.90863,0.88525,0.93993,0.80933,0.65384,0.47984,0.96357,0.000412749,0.000412749,0.000412749
78,429.514,0.32554,0.27324,1.03711,0.9084,0.90164,0.94097,0.80942,0.64995,0.54373,0.97571,0.000396246,0.000396246,0.000396246
79,434.966,0.321,0.2788,1.02158,0.90313,0.90164,0.94628,0.81083,0.64362,0.4984,0.96568,0.000379743,0.000379743,0.000379743
80,440.161,0.32345,0.26185,1.02938,0.8951,0.92623,0.94667,0.82149,0.62446,0.49796,0.94582,0.000363239,0.000363239,0.000363239
81,445.592,0.31468,0.27719,1.02447,0.90973,0.90866,0.9467,0.81961,0.59977,0.52457,0.9123,0.000346736,0.000346736,0.000346736
82,450.903,0.31414,0.27211,1.01338,0.89364,0.90984,0.9477,0.82145,0.64164,0.58651,0.95283,0.000330233,0.000330233,0.000330233
83,456.273,0.31298,0.2558,1.02055,0.90984,0.89344,0.94025,0.80201,0.63629,0.57983,0.94348,0.000313729,0.000313729,0.000313729
84,461.57,0.3229,0.25692,1.0234,0.90975,0.92623,0.94848,0.82481,0.60312,0.57449,0.93224,0.000297226,0.000297226,0.000297226
85,467.2,0.32167,0.26293,1.01419,0.9086,0.90984,0.94575,0.81871,0.61424,0.5566,0.93429,0.000280723,0.000280723,0.000280723
86,472.472,0.31437,0.25761,1.0161,0.91378,0.89344,0.94841,0.82531,0.5884,0.5965,0.8953,0.00026422,0.00026422,0.00026422
87,477.859,0.33914,0.27003,1.04037,0.92371,0.89318,0.93853,0.81554,0.60926,0.56803,0.91794,0.000247716,0.000247716,0.000247716
88,483.105,0.30506,0.25315,1.01434,0.94665,0.87273,0.94775,0.82045,0.61827,0.51486,0.92646,0.000231213,0.000231213,0.000231213
89,488.352,0.292,0.23909,1.00697,0.9395,0.89104,0.94982,0.8255,0.63096,0.54606,0.95132,0.00021471,0.00021471,0.00021471
90,493.624,0.28905,0.23686,1.01141,0.9678,0.86885,0.94797,0.82632,0.61703,0.59462,0.929,0.000198206,0.000198206,0.000198206
91,526.141,0.38413,0.45338,1.11418,0.90197,0.92623,0.94505,0.82259,0.57035,0.63904,0.90333,0.000181703,0.000181703,0.000181703
92,531.47,0.3257,0.23404,1.04165,0.90652,0.90984,0.94375,0.8161,0.60112,0.60293,0.93242,0.0001652,0.0001652,0.0001652
93,536.8,0.32053,0.24348,1.03845,0.90256,0.91115,0.94478,0.81088,0.6416,0.65325,0.96689,0.000148696,0.000148696,0.000148696
94,542.022,0.30148,0.23399,1.02371,0.90372,0.92322,0.947,0.81636,0.59898,0.64216,0.93033,0.000132193,0.000132193,0.000132193
95,547.265,0.28315,0.21094,1.02132,0.90188,0.92623,0.94592,0.81274,0.62539,0.70901,0.95114,0.00011569,0.00011569,0.00011569
96,552.385,0.30144,0.2222,1.04147,0.88826,0.92623,0.94428,0.81443,0.6369,0.69861,0.96201,9.91865e-05,9.91865e-05,9.91865e-05
97,557.621,0.29654,0.20955,1.04466,0.91636,0.89808,0.94709,0.81782,0.66021,0.65687,0.97755,8.26832e-05,8.26832e-05,8.26832e-05
98,563.091,0.28985,0.21826,1.02439,0.88906,0.92623,0.94997,0.81462,0.64895,0.64056,0.96856,6.61799e-05,6.61799e-05,6.61799e-05
99,568.351,0.27108,0.20686,1.03106,0.89495,0.91803,0.9453,0.81259,0.62994,0.6222,0.95256,4.96766e-05,4.96766e-05,4.96766e-05
100,573.61,0.28285,0.21054,1.0241,0.88964,0.91803,0.94512,0.81274,0.63745,0.62039,0.95585,3.31733e-05,3.31733e-05,3.31733e-05
