epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.8784,1.71782,1.5317,2.15758,0.78858,0.33631,0.51679,0.16849,2.55958,2.45893,2.77675,0.000540649,0.000540649,0.000540649
2,13.2881,0.70348,0.64649,1.38119,0.91923,0.84426,0.91939,0.76051,0.80013,0.66841,1.26424,0.00108546,0.00108546,0.00108546
3,18.6217,0.55533,0.499,1.21415,0.82077,0.90085,0.91086,0.73208,0.6624,0.58467,1.10522,0.00161927,0.00161927,0.00161927
4,23.8017,0.49972,0.45947,1.17074,0.86285,0.86885,0.91555,0.75018,0.72103,0.65946,1.12307,0.00161749,0.00161749,0.00161749
5,29.1017,0.4989,0.45597,1.16557,0.86546,0.84363,0.90958,0.71016,0.78627,0.58954,1.20318,0.00160099,0.00160099,0.00160099
6,34.3813,0.48607,0.44353,1.15068,0.8729,0.85246,0.90672,0.7258,0.717,0.53154,1.0974,0.00158448,0.00158448,0.00158448
7,39.7671,0.44985,0.41545,1.14599,0.87619,0.87008,0.92027,0.73228,0.78215,0.5853,1.21952,0.00156798,0.00156798,0.00156798
8,44.9898,0.47123,0.41764,1.1292,0.92619,0.82286,0.92538,0.77283,0.64056,0.58503,1.01129,0.00155148,0.00155148,0.00155148
9,50.1596,0.44138,0.39159,1.12137,0.82869,0.87705,0.91579,0.77213,0.63775,0.55573,1.01611,0.00153497,0.00153497,0.00153497
10,55.3177,0.44778,0.39403,1.11891,0.90078,0.81862,0.92741,0.77127,0.70296,0.56547,1.09493,0.00151847,0.00151847,0.00151847
11,60.5658,0.45825,0.41386,1.12706,0.8567,0.88206,0.92164,0.77515,0.6679,0.59417,1.05498,0.00150197,0.00150197,0.00150197
12,65.7008,0.4395,0.37295,1.09943,0.87337,0.84802,0.91465,0.74267,0.77615,0.60481,1.16778,0.00148546,0.00148546,0.00148546
13,71.1516,0.43265,0.39967,1.12232,0.8863,0.90164,0.93648,0.78517,0.62872,0.48065,1.01116,0.00146896,0.00146896,0.00146896
14,76.3336,0.42587,0.3748,1.09128,0.8652,0.8944,0.92045,0.77875,0.67091,0.56098,1.03748,0.00145246,0.00145246,0.00145246
15,81.5449,0.41763,0.34614,1.09742,0.88425,0.86885,0.92442,0.77457,0.65044,0.5437,1.03743,0.00143595,0.00143595,0.00143595
16,86.6612,0.42258,0.35733,1.09587,0.89729,0.85934,0.91187,0.74975,0.70713,0.57888,1.08289,0.00141945,0.00141945,0.00141945
